id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id,workflow_id
1,0.0,0.05,-54.29813766479492,2,1,1,1
2,0.05,0.14,-61.85124969482422,60,2,1,1
3,0.14,0.32,-46.33831787109375,45,2,1,1
4,0.32,0.5,-58.77889633178711,100,2,1,1
5,0.5,0.86,-52.61568069458008,17,2,1,1
6,0.86,1.08,-50.45643615722656,2,3,1,1
7,1.08,1.15,-55.45363235473633,60,4,1,1
8,1.15,1.29,-40.0533561706543,45,4,1,1
9,1.29,1.84,-58.966793060302734,3,5,1,1
10,1.84,2.61,-58.105621337890625,3,6,1,1
11,2.61,2.856,-53.05706024169922,2,7,1,1
